"","location","latitude","longitude","year","precipitation_mean","mean_vapor_pressure_deficit_mean","minimum_near_surface_relative_humidity_mean","maximum_near_surface_relative_humidity_mean","surface_downwelling_solar_radiation_mean","minimum_near_surface_air_temperature_mean","maximum_near_surface_air_temperature_mean","wind_speed_at_10m_mean","wind_direcation_at_10m_mean","palmer_drought_severity_index_x_mean","palmer_drought_severity_index_y_mean","reference_grass_evapotranspiration_mean","reference_alfaalfa_evapotranspiration_mean","dead_fuel_moisture_100hour_mean","dead_fuel_moisture_1000hour_mean","NA","NA","NA"
"1",1,46.283706,-118.674581,"Non-virgin","Columbia Basin",2021,"2013",0.681643835616438,0.982027397260274,38.552602739726,82.0693150684932,177.155068493151,278.748767123288,291.407397260274,3.17342465753425,205.32602739726,3.76712328767123,-1.57452054794521,3.24821917808219,4.4613698630137,14.2106849315069,15.5019178082192
"2",1,46.283706,-118.674581,"Non-virgin","Columbia Basin",2021,"2014",0.912876712328767,1.06008219178082,39.233698630137,75.0638356164384,176.845479452055,280.080547945205,291.707671232877,3.41698630136986,205.657534246575,2.56164383561644,-2.8786301369863,3.45972602739726,4.82794520547945,13.4753424657534,14.8961643835616
"3",1,46.283706,-118.674581,"Non-virgin","Columbia Basin",2021,"2015",0.752328767123288,1.1558904109589,37.2632876712329,73.2323287671233,182.952054794521,280.912602739726,292.714520547945,2.97972602739726,202.178082191781,2.80821917808219,-2.63164383561644,3.50684931506849,4.8558904109589,12.767397260274,14.0358904109589
"4",1,46.283706,-118.674581,"Non-virgin","Columbia Basin",2021,"2016",0.949453551912568,0.902377049180328,42.716393442623,87.9087431693989,175.99781420765,278.887704918033,291.684699453552,3.20136612021858,182.513661202186,3.68918918918919,-1.47351351351351,3.13142076502732,4.26693989071038,15.772131147541,17.2939890710383
"5",1,46.283706,-118.674581,"Non-virgin","Columbia Basin",2021,"2017",1.0358904109589,0.899397260273973,43.4838356164384,85.3695890410959,176.42,277.707123287671,290.177808219178,3.03123287671233,184.47397260274,7.31506849315068,2.79849315068493,3.05452054794521,4.11369863013699,15.9342465753425,17.3106849315068
"6",1,46.283706,-118.674581,"Non-virgin","Columbia Basin",2021,"2018",0.742191780821918,0.937260273972603,39.9021917808219,84.1791780821918,179.872328767123,278.592328767123,291.632328767123,3.23205479452055,196.117808219178,4.79452054794521,-0.371917808219178,3.26328767123288,4.47506849315069,15.1569863013699,16.4720547945205
"7",1,46.283706,-118.674581,"Non-virgin","Columbia Basin",2021,"2019",0.823835616438356,0.809452054794521,45.1701369863014,86.8252054794521,179.02,277.648493150685,289.794246575342,2.9358904109589,197.720547945205,6.34246575342466,1.5741095890411,3.03095890410959,4.0758904109589,15.7671232876712,17.3098630136986
"8",1,46.283706,-118.674581,"Non-virgin","Columbia Basin",2021,"2020",0.862841530054645,0.966967213114754,37.6062841530055,81.9614754098361,179.778142076503,278.230327868852,291.599180327869,3.43360655737705,194.051912568306,2.79452054794521,-2.70698630136986,3.31120218579235,4.59016393442623,14.1587431693989,15.4098360655738
"9",1,46.283706,-118.674581,"Non-virgin","Columbia Basin",2021,"2021",0.645479452054795,1.03161643835616,38.0221917808219,82.3454794520548,179.98301369863,278.181643835616,292.033424657534,3.27561643835616,195.049315068493,1.20547945205479,-4.42821917808219,3.40191780821918,4.70986301369863,14.167397260274,15.0824657534247
"10",1,46.283706,-118.674581,"Non-virgin","Columbia Basin",2021,"2022",1.12872928176796,0.508011049723757,48.3414364640884,93.4408839779006,176.225966850829,275.285082872928,287.106629834254,3.12762430939227,188.458563535912,3.05555555555556,-2.40888888888889,2.54033149171271,3.31878453038674,17.6110497237569,20.4049723756906
"11",2,46.281286,-118.684761,"Virgin","Columbia Basin",2021,"2013",0.681643835616438,0.982027397260274,38.552602739726,82.0693150684932,177.155068493151,278.748767123288,291.407397260274,3.17342465753425,205.32602739726,3.76712328767123,-1.57452054794521,3.24821917808219,4.4613698630137,14.2106849315069,15.5019178082192
